age,income,employment_length,debt,credit_history_length,num_credit_cards,num_loans,monthly_emi,payment_history,housing,purpose,job_type,existing_defaults,credit_risk
57,37463.0,3.0,28543.0,13,2,2,519.0,excellent,own,education,unemployed,1,1
47,71189.0,2.0,40742.0,17,1,4,1567.0,excellent,own,business,salaried,0,0
33,51689.0,33.0,28120.0,24,5,2,907.0,average,own,education,unemployed,0,0
61,42869.0,22.0,11386.0,28,7,1,237.0,excellent,own,education,salaried,0,0
26,40950.0,22.0,28374.0,15,5,2,535.0,good,own,car,salaried,0,0
39,66737.0,4.0,7970.0,8,0,1,163.0,average,own,personal,salaried,0,0
57,49149.0,30.0,41071.0,14,5,4,821.0,average,rent,personal,salaried,1,1
37,52782.0,5.0,17257.0,29,4,3,539.0,good,own,medical,salaried,2,0
41,54738.0,36.0,8682.0,25,1,1,413.0,good,own,home_renovation,salaried,0,0
29,47393.0,9.0,20190.0,9,7,3,651.0,good,own,home_renovation,student,1,1
29,54358.0,39.0,4680.0,28,7,3,81.0,excellent,rent,personal,salaried,0,0
42,42870.0,6.0,27091.0,21,0,1,713.0,good,own,medical,salaried,0,0
54,44103.0,38.0,36045.0,15,7,4,1001.0,good,rent,personal,salaried,0,0
58,24856.0,37.0,18932.0,3,5,0,357.0,average,with_parents,medical,salaried,0,0
42,50360.0,20.0,7970.0,19,1,3,153.0,average,own,medical,salaried,2,1
21,14048.0,19.0,2210.0,12,3,3,201.0,good,own,medical,self_employed,0,0
40,50104.0,2.0,37148.0,21,5,4,758.0,good,own,medical,salaried,0,0
20,39949.0,21.0,33382.0,4,6,4,2568.0,excellent,with_parents,car,self_employed,0,0
42,51743.0,3.0,22848.0,21,2,2,1904.0,average,rent,car,self_employed,0,1
62,26121.0,27.0,12385.0,6,1,4,318.0,good,rent,personal,salaried,0,0
48,8000.0,11.0,2564.0,22,7,3,52.0,excellent,own,medical,salaried,0,0
56,38684.0,37.0,31339.0,8,0,1,540.0,excellent,with_parents,business,unemployed,0,0
20,26174.0,35.0,15656.0,7,3,0,824.0,excellent,own,medical,salaried,0,0
39,12950.0,4.0,3820.0,28,4,2,182.0,average,own,business,salaried,0,0
51,58824.0,12.0,17880.0,15,3,1,372.0,excellent,rent,car,student,0,0
30,73822.0,22.0,59613.0,5,5,0,1046.0,good,with_parents,medical,salaried,0,0
40,30655.0,29.0,1888.0,27,2,0,135.0,good,own,education,salaried,0,0
62,43636.0,36.0,14152.0,15,3,0,943.0,good,own,personal,student,2,1
